CODE,ZONE DESCRIPTION,ZONE_GROUP,
ACZ,Activity Centre Zone*,Special,"""ACZ"" -> ""Special"","
B1Z,Business 1 Zone,Commercial,"""B1Z"" -> ""Commercial"","
B2Z,Business 2 Zone,Commercial,"""B2Z"" -> ""Commercial"","
B3Z,Business 3 Zone,Commercial,"""B3Z"" -> ""Commercial"","
B4Z,Business 4 Zone,Commercial,"""B4Z"" -> ""Commercial"","
B5Z,Business 5 Zone,Commercial,"""B5Z"" -> ""Commercial"","
C1Z,Commercial 1 Zone,Commercial,"""C1Z"" -> ""Commercial"","
C2Z,Commercial 2 Zone,Commercial,"""C2Z"" -> ""Commercial"","
CA,Commonwealth Land (not in scheme),Special,"""CA"" -> ""Special"","
CCZ,Capital City Zone*,MixedUse,"""CCZ"" -> ""MixedUse"","
CDZ,Comprehensive Development Zone*,Special,"""CDZ"" -> ""Special"","
DZ,Docklands Zone*,MixedUse,"""DZ"" -> ""MixedUse"","
FZ,Farming Zone,Agriculture,"""FZ"" -> ""Agriculture"","
GRZ,General Residential Zone*,Residential,"""GRZ"" -> ""Residential"","
GWAZ,Green Wedge A Zone,OpenSpace,"""GWAZ"" -> ""OpenSpace"","
GWZ,Green Wedge Zone,OpenSpace,"""GWZ"" -> ""OpenSpace"","
GWZA,Green Wedge A Zone,OpenSpace,"""GWZA"" -> ""OpenSpace"","
IN1Z,Industrial 1 Zone,Industrial,"""IN1Z"" -> ""Industrial"","
IN2Z,Industrial 2 Zone,Industrial,"""IN2Z"" -> ""Industrial"","
IN3Z,Industrial 3 Zone,Industrial,"""IN3Z"" -> ""Industrial"","
LDRZ,Low Density Residential Zone,Residential,"""LDRZ"" -> ""Residential"","
MUZ,Mixed Use Zone,MixedUse,"""MUZ"" -> ""MixedUse"","
NRZ,Neighbourhood Residential Zone*,Residential,"""NRZ"" -> ""Residential"","
PCRZ,Public Conservation and Resource Zone,OpenSpace,"""PCRZ"" -> ""OpenSpace"","
PDZ,Priority Development Zone*,Special,"""PDZ"" -> ""Special"","
PPRZ,Public Park and Recreation Zone,OpenSpace,"""PPRZ"" -> ""OpenSpace"","
PUZ1,Public use Zone - Service and Utility,Institutional,"""PUZ1"" -> ""Institutional"","
PUZ2,Public use Zone - Education,Institutional,"""PUZ2"" -> ""Institutional"","
PUZ3,Public use Zone – Health and Community,Institutional,"""PUZ3"" -> ""Institutional"","
PUZ4,Public use Zone - Transport,Institutional,"""PUZ4"" -> ""Institutional"","
PUZ5,Public use Zone – Cemetery/Crematorium,Institutional,"""PUZ5"" -> ""Institutional"","
PUZ6,Public use Zone – Local Government,Institutional,"""PUZ6"" -> ""Institutional"","
PUZ7,Public use Zone – Other Public Use,Institutional,"""PUZ7"" -> ""Institutional"","
R1Z,Residential 1 Zone,Residential,"""R1Z"" -> ""Residential"","
R2Z,Residential 2 Zone,Residential,"""R2Z"" -> ""Residential"","
R3Z,Residential 3 Zone,Residential,"""R3Z"" -> ""Residential"","
RAZ,Rural Activity Zone,OpenSpace,"""RAZ"" -> ""OpenSpace"","
RCZ,Rural Conservation Zone,OpenSpace,"""RCZ"" -> ""OpenSpace"","
RDZ1,Road Zone – Category 1,Transport,"""RDZ1"" -> ""Transport"","
RDZ2,Road Zone – Category 2,Transport,"""RDZ2"" -> ""Transport"","
RGZ,Residential Growth Zone*,Residential,"""RGZ"" -> ""Residential"","
RLZ,Rural Living Zone,Agriculture,"""RLZ"" -> ""Agriculture"","
SUZ,Special Use Zone*,Special,"""SUZ"" -> ""Special"","
TZ,Township Zone,Special,"""TZ"" -> ""Special"","
UFZ,Urban Floodway Zone,Special,"""UFZ"" -> ""Special"","
UGZ,Urban Growth Zone*,Special,"""UGZ"" -> ""Special"","
